Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2024;2.251.931.176;976.134.091;2.080.046.482;1.795.394.632;171.884.694;17.669.787;3.999;512
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2024;2.018.816.941;434.590.814;1.872.351.766;1.637.415.082;146.465.175;13.156.738;2.110;1.095
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;06/2024;1.906.877.588;1.174.696.158;1.807.902.916;1.618.106.337;98.974.672;5.300.681;3.372;846
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2024;1.650.465.504;530.985.117;1.490.379.880;1.274.317.655;160.085.624;8.926.791;2.573;1.048
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2024;1.172.483.279;366.342.327;1.084.926.113;880.942.790;87.557.165;6.081.522;2.510;1.482
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2024;772.679.810;285.779.266;612.631.458;142.844.969;160.048.352;13.334.996;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2024;452.181.963;41.124.286;399.106.377;315.208.478;53.075.586;5.597.057;25;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2024;394.785.557;156.000.700;209.656.679;88.599.840;185.128.878;18.073.686;2;7
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2024;253.815.829;71.302.090;226.959.754;196.590.068;26.856.075;1.411.881;124;3
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;06/2024;202.720.620;29.984.915;197.438.404;140.247.354;5.282.216;659.323;51;8
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;06/2024;172.425.955;31.873.445;167.630.071;150.439.780;4.795.884;67.457;6;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;06/2024;147.098.896;54.428.976;134.716.653;126.003.164;12.382.244;4.295.627;2;0
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;06/2024;145.912.250;27.846.166;141.405.500;122.547.676;4.506.750;308.498;5;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE - PRUDENCIAL;20107;80116;b1;3;8;SAO PAULO;SP;06/2024;141.909.837;2.567.449;131.867.736;68.403.274;10.042.101;497.823;3;0
BANCO XP S.A.;33264668;XP - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;06/2024;140.257.287;25.359.541;131.614.750;95.643.257;8.642.537;334.947;2;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;06/2024;135.553.711;54.689.126;125.457.651;114.495.226;10.096.060;434.610;498;58
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;ITAU - PRUDENCIAL;;80099;n4;2;41;SAO PAULO;SP;06/2024;135.099.291;0;84.912.965;0;50.186.326;1.498.170;1;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;06/2024;128.646.715;68.798.376;115.194.746;96.781.151;13.451.969;676.453;4;5
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP - PRUDENCIAL;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;06/2024;118.924.163;0;111.303.833;81.777.854;7.620.329;315.407;4;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;CIELO IP - PRUDENCIAL;;84710;n4;2;41;BARUERI;SP;06/2024;105.333.257;0;92.975.669;3.659.770;12.357.588;888.657;1;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;;80673;b1;3;8;SAO PAULO;SP;06/2024;97.773.517;9.801.891;93.883.504;26.860.248;3.890.013;-55.443;2;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;NU PAGAMENTOS - PRUDENCIAL;;84693;n4;2;41;SAO PAULO;SP;06/2024;92.264.932;49.109.340;78.015.738;10.083.265;14.249.194;4.058.067;1;0
BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;51987;81744;b1;2;8;SAO PAULO;SP;06/2024;77.170.502;41.989.155;70.428.042;64.246.702;6.742.460;806.056;52;0
