Instituição;Código;Conglomerado Financeiro;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;12/2019;1.426.114.707;590.894.100;1.327.218.708;1.129.890.253;98.895.999;9.779.477;4.357;941
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;12/2019;1.293.481.745;693.724.208;1.243.082.263;1.064.374.848;50.399.483;11.129.609;3.374;766
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2019;1.167.790.190;370.504.253;1.034.066.969;883.635.730;133.723.221;10.720.094;4.474;1.397
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2019;1.110.075.148;237.897.802;1.022.580.930;884.620.334;87.494.218;10.332.393;3.059;894
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;12/2019;835.707.721;241.473.965;757.309.240;552.510.500;78.398.482;7.216.843;2.732;1.909
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2019;739.788.328;261.078.772;634.977.736;268.728.011;104.810.592;3.913.478;5;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;12/2019;153.540.586;51.347.730;141.656.212;125.797.254;11.884.374;1.170.800;114;5
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2019;139.337.207;0;7.092.980;0;132.244.227;13.206.896;2;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2019;139.111.224;16.758.242;117.799.524;74.256.904;21.311.700;2.478.427;8;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;12/2019;117.729.114;87.223.136;106.486.777;47.919.714;11.242.337;1.754.061;2;0
CIELO S.A.;1027058;;;84710;n4;2;41;BARUERI;SP;12/2019;93.517.087;0;84.049.732;7.716.812;9.467.355;600.467;1;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;12/2019;88.487.265;13.588.887;82.604.330;51.720.562;5.882.935;667.701;121;10
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;12/2019;87.109.961;10.145.267;77.254.503;66.401.827;9.855.458;727.868;12;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;12/2019;81.299.273;36.064.757;73.506.906;63.624.436;7.792.367;689.070;519;136
REDECARD S.A.;1425787;;;80099;n4;2;41;SAO PAULO;SP;12/2019;71.514.922;0;54.388.150;0;17.126.772;315.946;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;12/2019;58.630.771;10.938.682;53.203.366;16.328.842;5.427.405;991.908;296;2
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;12/2019;56.444.922;11.913.925;55.139.923;51.217.644;1.304.999;66.081;6;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;12/2019;53.776.026;9.600.928;51.859.694;45.024.241;1.916.332;46.139;5;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2019;51.739.811;36.553.140;40.410.122;37.085.457;11.329.690;618.127;3;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;12/2019;48.595.117;2.736.135;43.497.072;34.728.104;5.098.046;479.893;5;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;12/2019;46.460.305;43.858.201;45.484.817;42.718.462;975.488;-8.934;1;0
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;12/2019;46.072.348;43.843.306;45.309.040;37.271.426;763.308;280.649;75;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;12/2019;44.072.544;7.221.643;41.240.933;23.378.232;2.831.611;52.078;5;0
ING BANK N.V.;49336860;ING;51073;80501;b1;3;28;SAO PAULO;SP;12/2019;40.414.063;3.985.061;39.746.235;12.047.779;667.828;40.892;2;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;12/2019;34.228.460;14.906.926;30.187.727;23.502.472;4.040.732;276.121;11;0
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;12/2019;34.225.839;22.379.793;30.530.681;26.285.922;3.695.159;641.498;45;0
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2019;34.083.072;513.765;963.128;0;33.119.944;315.889;1;0
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;12/2019;33.219.831;23.471.247;28.293.663;22.529.045;4.926.169;302.121;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;12/2019;32.165.765;22.062.929;28.638.300;23.135.664;3.527.465;179.129;19;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;12/2019;30.295.533;2.737.099;25.750.544;18.265.051;4.544.989;536.204;3;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;12/2019;29.073.948;0;26.832.431;16.164.920;2.241.517;206.749;4;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2019;28.358.533;27.653.791;26.003.266;25.495.042;2.355.267;135.621;2;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;;;80185;n4;3;41;SAO PAULO;SP;12/2019;26.571.614;0;23.959.848;652.545;2.611.765;284.285;0;0
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;12/2019;23.714.070;15.777.990;22.694.367;21.722.470;1.019.702;191.139;2;0
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;12/2019;23.565.905;4.241.587;21.957.543;21.042.127;1.608.362;104.745;118;39
BANCO MUFG BRASIL S.A.;60498557;;;81713;b1;3;8;SAO PAULO;SP;12/2019;23.511.546;1.530.013;22.249.716;6.123.823;1.261.830;1.645;2;0
BANCO VOLKSWAGEN S.A.;59109165;;;80202;b2;3;8;SAO PAULO;SP;12/2019;21.440.200;18.257.865;18.813.111;13.703.699;2.627.089;340.508;2;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;12/2019;20.696.925;2.039.583;19.053.553;4.103.686;1.643.372;42.029;2;0
BANCO BMG S.A.;61186680;BMG;30290;80178;b1;2;8;SAO PAULO;SP;12/2019;20.609.927;10.835.914;16.581.648;13.441.347;4.028.279;228.603;28;0
BANCO DA AMAZONIA S.A.;4902979;;;81249;b1;1;2;BELEM;PA;12/2019;20.478.841;3.603.482;18.279.635;5.567.430;2.199.206;216.157;121;0
NU PAGAMENTOS S.A.;18236120;;;84693;n4;2;41;SAO PAULO;SP;12/2019;20.453.618;12.132.217;19.451.787;5.726.508;1.001.831;-173.191;1;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH;51255;80556;b1;3;8;SAO PAULO;SP;12/2019;19.656.388;586.133;17.080.710;10.372.169;2.575.678;258.381;2;0
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE;31859;80264;b1;3;8;SAO PAULO;SP;12/2019;17.408.268;1.207.338;15.961.723;3.442.830;1.446.546;-13.175;2;0
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY;51413;80628;b1;3;8;SAO PAULO;SP;12/2019;17.084.641;0;14.793.432;10.814.484;2.291.209;123.395;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;;;81311;b4;1;5;PORTO ALEGRE;RS;12/2019;16.871.798;13.523.709;13.984.795;13.063.036;2.887.003;168.381;4;0
HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2019;16.764.919;11.166.979;12.089.896;3.292.192;4.675.023;87.242;3;0
BRB - BANCO DE BRASILIA S.A.;208;BRB;31976;80288;b1;1;8;BRASILIA;DF;12/2019;16.589.813;8.896.337;14.852.488;12.775.900;1.737.325;257.934;124;8
BANCO BRADESCO BBI S.A.;6271464;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2019;16.136.410;0;1.587.355;0;14.549.055;1.408.455;4;0
PAGSEGURO INTERNET S.A.;8561701;;;84813;n4;2;41;SAO PAULO;SP;12/2019;16.087.016;75.637;8.485.311;1.236.217;7.601.705;878.934;1;0
CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;7450604;CCB;32119;80295;b1;3;8;SAO PAULO;SP;12/2019;15.843.847;6.287.138;14.312.461;11.628.906;1.531.386;106.081;9;0
BANCO BANDEPE S.A.;10866788;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;12/2019;15.504.012;0;10.226.369;10.051.166;5.277.643;95.956;2;0
BANCO OLÉ BONSUCESSO CONSIGNADO S.A.;71371686;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;12/2019;14.697.635;14.504.927;13.153.839;12.421.137;1.543.796;259.517;3;0
BANCO CETELEM S.A.;558456;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;12/2019;14.293.116;10.429.682;12.746.544;11.115.585;1.546.572;85.601;2;0
BANCO BRADESCARD S.A.;4184779;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2019;14.147.541;10.649.596;8.562.917;4.718;5.584.625;274.275;2;0
BANCO GMAC S.A.;59274605;;;80848;b2;3;8;SAO PAULO;SP;12/2019;14.021.750;10.832.315;11.457.014;8.462.005;2.564.736;261.436;2;0
BANCO RCI BRASIL S.A.;62307848;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;12/2019;13.493.858;10.318.373;12.179.016;10.144.167;1.314.842;164.567;2;0
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ;51262;80563;b2;3;8;SAO PAULO;SP;12/2019;12.992.772;12.392.417;11.016.874;10.547.776;1.975.899;177.988;2;0
BANCO ORIGINAL S.A.;92894922;ORIGINAL;51781;80903;b1;2;8;SAO PAULO;SP;12/2019;12.651.228;7.101.768;10.554.672;9.831.318;2.096.556;8.242;2;0
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;12/2019;12.525.034;0;7.467.316;7.285.951;5.057.717;91.779;2;0
BANCO ITAULEASING S.A.;49925225;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;12/2019;12.510.215;41.450;235.489;41.405;12.274.726;258.210;2;0
BANCO CLASSICO S.A.;31597552;;;81665;b1;2;8;RIO DE JANEIRO;RJ;12/2019;12.116.921;0;4.468.189;1.116.462;7.648.732;132.888;2;0
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;80570;b2;2;13;SAO PAULO;SP;12/2019;11.887.333;3.027.107;10.399.015;10.292.579;1.488.318;39.116;10;0
ITAU CORRETORA DE VALORES S.A.;61194353;ITAU;10069;80099;n2;2;15;SAO PAULO;SP;12/2019;11.805.817;0;10.292.438;0;1.513.379;233.373;2;0
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS;51585;80714;b2;3;8;SAO PAULO;SP;12/2019;11.628.524;0;9.708.063;2.000.014;1.920.461;148.550;2;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;12/2019;11.401.403;2.703.709;7.998.473;6.016.001;3.402.930;134.161;2;0
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU;10069;80099;n1;2;14;SAO PAULO;SP;12/2019;11.207.700;11.549.018;10.315.661;5.355.363;892.039;38.445;2;0
BANCO CSF S.A.;8357240;;;81610;b2;3;8;SAO PAULO;SP;12/2019;11.012.346;10.098.282;8.442.768;1.518.001;2.569.577;299.911;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;;;81407;b2;3;8;CURITIBA;PR;12/2019;10.482.635;10.102.121;9.232.799;8.863.265;1.249.835;131.439;2;0
BANCO PINE S.A.;62144175;PINE;50304;80374;b1;2;8;SAO PAULO;SP;12/2019;10.272.649;3.498.657;9.431.593;6.942.013;841.056;-47.569;6;0
BANCO INTER S.A.;416968;INTER;51884;80996;b1;2;8;BELO HORIZONTE;MG;12/2019;10.038.703;4.756.329;7.837.684;6.985.159;2.201.019;33.877;26;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;80123;b1;2;8;BELO HORIZONTE;MG;12/2019;9.877.192;4.592.942;8.989.693;7.144.816;887.499;69.329;153;86
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;;;80532;b1;3;8;SAO PAULO;SP;12/2019;9.716.705;2.026.118;8.081.506;3.075.604;1.635.200;75.055;2;0
CITIBANK N.A.;33042953;CITIBANK;30403;80192;b1;3;28;SAO PAULO;SP;12/2019;9.658.826;66.032;6.745.663;4.561.145;2.913.163;123.410;2;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;;;81184;n1;2;25;BRASILIA;DF;12/2019;9.156.118;2.149.635;2.304.886;2.182.967;6.851.232;-23.926;63;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;;;81586;b1;1;8;BELEM;PA;12/2019;8.793.048;5.383.481;7.427.573;7.123.337;1.365.474;174.662;125;34
BANCO JOHN DEERE S.A.;91884981;JOHN DEERE;50071;80343;b1;3;8;INDAIATUBA;SP;12/2019;8.765.175;8.394.747;7.394.941;7.253.179;1.370.233;109.582;2;0
BANCO TOYOTA DO BRASIL S.A.;3215790;;;81562;b2;3;8;SAO PAULO;SP;12/2019;8.648.342;7.353.536;7.721.782;6.811.294;926.560;106.113;2;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;80185;n1;3;19;SAO PAULO;SP;12/2019;8.162.920;2.111.842;2.400.151;375.377;5.762.769;43.930;2;0
PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;4862600;PORTO SEGURO;51444;80642;n1;2;14;SAO PAULO;SP;12/2019;8.098.711;8.029.903;7.242.866;1.618.880;855.845;114.837;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;;;;b3C;2;9;CURITIBA;PR;12/2019;7.840.410;0;7.521.840;0;318.570;0;0;0
BANCO FIBRA S.A.;58616418;;;81483;b1;2;8;SAO PAULO;SP;12/2019;7.468.871;3.233.522;6.337.425;5.352.505;1.131.446;124.780;2;0
BANCO BOCOM BBM S.A.;15114366;BOCOM;52003;84624;b1;3;8;SALVADOR;BA;12/2019;7.447.114;2.945.017;6.793.942;6.118.506;653.171;50.346;4;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;;;81720;b1;3;8;SAO PAULO;SP;12/2019;7.234.817;1.490.288;5.449.222;4.626.237;1.785.595;21.139;2;0
FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6881898;ITAU;10069;80099;n1;2;14;SAO PAULO;SP;12/2019;7.045.227;7.286.271;6.010.880;1.899.105;1.034.347;134.691;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;;;;b3C;2;9;BELO HORIZONTE;MG;12/2019;7.003.629;104.706;6.440.400;97.562;563.229;19.739;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;;;;b3C;2;9;FLORIANOPOLIS;SC;12/2019;6.934.975;129.359;6.561.962;1.626.857;373.013;0;0;0
BB-LEASING S/A ARRENDAMENTO MERCANTIL;31546476;BB;49906;80329;n1;1;19;BRASILIA;DF;12/2019;6.934.549;155.066;2.202.779;1.945.346;4.731.770;75.066;2;0
ADIQ SOLUCOES DE PAGAMENTO S.A.;20520298;;;80422;n4;2;41;BELO HORIZONTE;MG;12/2019;6.717.921;0;6.693.049;17.634;24.871;1.573;1;0
