Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;81593;b1;1;8;FORTALEZA;CE;12/2021;60.302.034;15.555.040;52.823.007;18.292.632;7.479.028;908.070;296;2
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;12/2021;59.429.190;54.130.515;57.123.987;54.269.079;2.305.203;282.236;1;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;SANTANDER - PRUDENCIAL;;80185;n4;3;41;SAO PAULO;SP;12/2021;58.318.966;0;55.672.223;3.489.141;2.646.743;286.189;1;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;12/2021;52.000.995;15.600.961;47.908.551;43.438.968;4.092.444;497.126;2;0
BANCO XP S.A.;33264668;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;12/2021;51.899.466;14.692.614;51.177.043;42.125.000;722.423;125.548;2;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;NU PAGAMENTOS - PRUDENCIAL;;84693;n4;2;41;SAO PAULO;SP;12/2021;51.435.170;24.650.701;48.254.636;13.299.438;3.180.534;-238.315;1;0
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2021;48.433.409;34.895.621;42.634.776;36.070.054;5.798.633;381.814;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;;81555;b1;3;8;SAO PAULO;SP;12/2021;46.197.076;27.256.029;41.314.244;30.236.983;4.882.831;430.497;19;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;41856;80312;b1;3;8;SAO PAULO;SP;12/2021;43.394.141;20.347.826;38.724.677;29.166.999;4.669.464;313.426;12;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE - PRUDENCIAL;30771;80219;b2;3;13;SAO PAULO;SP;12/2021;39.393.960;7.107.682;33.550.323;27.530.507;5.843.637;-164.017;3;0
